uuid,event_id,category,type,value,comment,to_ids,date
579b5e51-21cc-49aa-bdb0-c476ac1f3af3,99693,External analysis,comment,"{""OfflineKeylogger"": ""1"", ""Version"": ""#KCMDDC51#"", ""Mutex"": ""DC_MUTEX-9LASXZ7"", ""section_.BSS"": ""d41d8cd98f00b204e9800998ecf8427e"", ""section_.IDATA"": ""80655c280fee15e63402a8fc93041c3c"", ""section_.ITEXT"": ""7d01b8ffc56f096e211f89f0f28e5b49"", ""Date"": ""2016-07-27 12:25:57"", ""sha256"": ""10649a2601ecb97dde5b213159218d559bb374e9f7a20b843a1d17d92735f22d"", ""rat_name"": ""DarkComet"", ""imphash"": ""8033c11f8a2fdfc317e8655120579933"", ""FireWallBypass"": ""0"", ""md5"": ""a652c3ca19d6c7c9129bc0665dec1abe"", ""Origin"": ""vt"", ""Domain"": ""easy-serva4ok.ddns.net"", ""sha1"": ""292640d37412830b363bac8474c4deb2847b23bf"", ""magic"": ""PE32 executable for MS Windows (GUI) Intel 80386 32-bit"", ""Campaign"": ""Guest16"", ""section_.TEXT"": ""c8087ea6a249266ed1db0453229b76c2"", ""section_.RSRC"": ""d776aa188da95b5e2e719c1b84facaef"", ""compile_date"": ""2012-06-08 11:12:27"", ""section_.RDATA"": ""c1788dfeb92bbf0cff5aeaeaf1270ff8"", ""section_.TLS"": ""d41d8cd98f00b204e9800998ecf8427e"", ""Gencode"": ""irsUhLWs6Yu1"", ""section_.DATA"": ""cb210a12278fc6b67accee22c52b9ad1"", ""Port"": ""27016"", ""section_.RELOC"": ""590aac335a7094d529e15198df1c5920""}","JSON config",0,20160729
579b5e51-2bb0-4c65-8592-c476ac1f3af3,99693,External analysis,comment,"2016-07-27 12:25:57","Date Observed",0,20160729
579b5e51-2e7c-4f6c-838b-c476ac1f3af3,99693,External analysis,md5,"a652c3ca19d6c7c9129bc0665dec1abe","",0,20160729
579b5e51-2f9c-46ab-b896-c476ac1f3af3,99693,External analysis,comment,"8033c11f8a2fdfc317e8655120579933","Imphash",0,20160729
579b5e51-49fc-4041-a68a-c476ac1f3af3,99693,External analysis,domain,"easy-serva4ok.ddns.net","Ports:27016",0,20160729
579b5e51-7bfc-474c-a262-c476ac1f3af3,99693,External analysis,comment,"DarkComet","Rat Name",0,20160729
579b5e51-97b4-4a9f-9db2-c476ac1f3af3,99693,External analysis,comment,"Guest16","Campaign ID",0,20160729
579b5e51-b280-4fbb-9219-c476ac1f3af3,99693,External analysis,comment,"vt","Source",0,20160729
579b5e51-dd8c-4ebd-8ef0-c476ac1f3af3,99693,External analysis,sha256,"10649a2601ecb97dde5b213159218d559bb374e9f7a20b843a1d17d92735f22d","",0,20160729
579b5e51-fcec-4d56-84d6-c476ac1f3af3,99693,External analysis,sha1,"292640d37412830b363bac8474c4deb2847b23bf","",0,20160729
