uuid,event_id,category,type,value,comment,to_ids,date
579b5e47-14d4-4f60-8abc-c4bcac1f3af3,99689,External analysis,sha1,"c20f8fe92884c4e07c302e598341a85ede9195c0","",0,20160729
579b5e47-5318-45ce-8396-c4bcac1f3af3,99689,External analysis,comment,"vt","Source",0,20160729
579b5e47-61c0-4649-b011-c4bcac1f3af3,99689,External analysis,comment,"e5b4359a3773764a372173074ae9b6bd","Imphash",0,20160729
579b5e47-69c8-416d-bf46-c4bcac1f3af3,99689,External analysis,comment,"2016-07-27 12:57:44","Date Observed",0,20160729
579b5e47-80c4-43cf-9f34-c4bcac1f3af3,99689,External analysis,domain,"darck380.ddns.net","Ports:1604",0,20160729
579b5e47-810c-4d49-888a-c4bcac1f3af3,99689,External analysis,comment,"Guest16","Campaign ID",0,20160729
579b5e47-9838-40df-87b1-c4bcac1f3af3,99689,External analysis,comment,"{""OfflineKeylogger"": ""1"", ""Version"": ""#KCMDDC51#"", ""Mutex"": ""DC_MUTEX-G662H46"", ""section_.BSS"": ""d41d8cd98f00b204e9800998ecf8427e"", ""section_.IDATA"": ""cd30ca2b6ff5111155dec94ee29ec186"", ""section_.ITEXT"": ""3f63b5c2974302201afb8afa01b8ac10"", ""Date"": ""2016-07-27 12:57:44"", ""sha256"": ""cec252faa66f78923c283a9c9a53c542422c429a91aba8641cf80ac455d818b1"", ""rat_name"": ""DarkComet"", ""imphash"": ""e5b4359a3773764a372173074ae9b6bd"", ""FireWallBypass"": ""0"", ""md5"": ""2e15271e2f25f068975c9e8e41c2eb0c"", ""Origin"": ""vt"", ""Domain"": ""darck380.ddns.net"", ""sha1"": ""c20f8fe92884c4e07c302e598341a85ede9195c0"", ""magic"": ""PE32 executable for MS Windows (GUI) Intel 80386 32-bit"", ""Campaign"": ""Guest16"", ""section_.TEXT"": ""8067456c5dc713997e61924c501c8cb2"", ""section_.RSRC"": ""f483e5a8b5ad19d108434f84557685bb"", ""compile_date"": ""2012-06-07 15:59:53"", ""section_.RDATA"": ""c1788dfeb92bbf0cff5aeaeaf1270ff8"", ""section_.TLS"": ""d41d8cd98f00b204e9800998ecf8427e"", ""Gencode"": ""ho6kTlForg1B"", ""section_.DATA"": ""81fa247370ecc3476b5c17086c0f2024"", ""Port"": ""1604"", ""section_.RELOC"": ""e55564594dad16a2ca19fb85903b9300""}","JSON config",0,20160729
579b5e47-bb78-4918-865a-c4bcac1f3af3,99689,External analysis,ip-dst,"37.110.126.81","Ports:1604",0,20160729
579b5e47-ceb0-40dd-b49b-c4bcac1f3af3,99689,External analysis,comment,"DarkComet","Rat Name",0,20160729
579b5e47-d4ac-47a9-b206-c4bcac1f3af3,99689,External analysis,sha256,"cec252faa66f78923c283a9c9a53c542422c429a91aba8641cf80ac455d818b1","",0,20160729
579b5e47-e348-43ba-99a3-c4bcac1f3af3,99689,External analysis,md5,"2e15271e2f25f068975c9e8e41c2eb0c","",0,20160729
