uuid,event_id,category,type,value,comment,to_ids,date
579b5e70-0808-4415-8318-c4c5ac1f3af3,99705,External analysis,sha256,"2b7ba83776caeaef1479cb25fc0968269287c1888b3d6a8816266fd8d7c5ef7c","",0,20160729
579b5e70-0c24-4c0e-b94f-c4c5ac1f3af3,99705,External analysis,comment,"{""OfflineKeylogger"": ""1"", ""Version"": ""#KCMDDC51#"", ""Mutex"": ""DC_MUTEX-EP9J22C"", ""section_.BSS"": ""d41d8cd98f00b204e9800998ecf8427e"", ""section_.IDATA"": ""cd30ca2b6ff5111155dec94ee29ec186"", ""section_.ITEXT"": ""3f63b5c2974302201afb8afa01b8ac10"", ""Date"": ""2016-07-27 10:30:43"", ""sha256"": ""2b7ba83776caeaef1479cb25fc0968269287c1888b3d6a8816266fd8d7c5ef7c"", ""rat_name"": ""DarkComet"", ""imphash"": ""e5b4359a3773764a372173074ae9b6bd"", ""FireWallBypass"": ""0"", ""md5"": ""95e665fd92734801fbe06fc66a939b41"", ""Origin"": ""vt"", ""Domain"": ""kerim1412.duckdns.org"", ""sha1"": ""4b6b9ee950bd8f09215adc659a234edbf71ca415"", ""magic"": ""PE32 executable for MS Windows (GUI) Intel 80386 32-bit"", ""Campaign"": ""Guest16"", ""section_.TEXT"": ""8067456c5dc713997e61924c501c8cb2"", ""section_.RSRC"": ""78f7c1d44f3176c8f49135f08b2b2efe"", ""compile_date"": ""2012-06-07 15:59:53"", ""section_.RDATA"": ""c1788dfeb92bbf0cff5aeaeaf1270ff8"", ""section_.TLS"": ""d41d8cd98f00b204e9800998ecf8427e"", ""Gencode"": ""FQ7hDr4Q4Hu4"", ""section_.DATA"": ""81fa247370ecc3476b5c17086c0f2024"", ""Port"": ""81"", ""section_.RELOC"": ""e55564594dad16a2ca19fb85903b9300""}","JSON config",0,20160729
579b5e70-18d8-4b28-b902-c4c5ac1f3af3,99705,External analysis,comment,"DarkComet","Rat Name",0,20160729
579b5e70-1f7c-420c-bcf7-c4c5ac1f3af3,99705,External analysis,comment,"2016-07-27 10:30:43","Date Observed",0,20160729
579b5e70-27e4-4359-8781-c4c5ac1f3af3,99705,External analysis,sha1,"4b6b9ee950bd8f09215adc659a234edbf71ca415","",0,20160729
579b5e70-7e9c-43f9-892d-c4c5ac1f3af3,99705,External analysis,domain,"kerim1412.duckdns.org","Ports:81",0,20160729
579b5e70-a09c-4dcb-b347-c4c5ac1f3af3,99705,External analysis,comment,"Guest16","Campaign ID",0,20160729
579b5e70-a788-4a22-a217-c4c5ac1f3af3,99705,External analysis,comment,"e5b4359a3773764a372173074ae9b6bd","Imphash",0,20160729
579b5e70-afcc-41a4-8845-c4c5ac1f3af3,99705,External analysis,md5,"95e665fd92734801fbe06fc66a939b41","",0,20160729
579b5e70-b224-4a01-948c-c4c5ac1f3af3,99705,External analysis,comment,"vt","Source",0,20160729
